Countries,UN Geoscheme,UN Geoscheme,Forex reserves including gold,Forex reserves including gold,Forex reserves including gold,Forex reserves excluding gold,Forex reserves excluding gold,Forex reserves excluding gold,Ref.
Countries,Continents,Sub-regions,Millions american dollars equivalents,Last reported date,Change,Millions american dollars equivalents,Last reported date,Change,Ref.
Togo,Africa,West Africa,208,1-Mar-24,7,No gold reserves,1-Mar-24,,[180]
Comoros,Africa,East Africa,197,1-Mar-24,5,No gold reserves,1-Mar-24,,[181]
Saint Vincent and the Grenadines,Americas,Caribbean,192,1-Mar-24,1,No gold reserves,1-Mar-24,,[182]
Eritrea,Africa,East Africa,189,1-Mar-24,2,No gold reserves,1-Mar-24,,[183]
Samoa,Oceania,Polynesia,188,1-Mar-24,3,No gold reserves,1-Mar-24,,[184]
São Tomé and Príncipe,Africa,Central Africa,186,1-Mar-24,2,No gold reserves,1-Mar-24,,[185]
Sudan,Africa,East Africa,172,1-Mar-24,5,No gold reserves,1-Mar-24,,[186]
Dominica,Americas,Caribbean,168,1-Mar-24,6,No gold reserves,1-Mar-24,,[187]
Senegal,Africa,West Africa,164,1-Mar-24,12,No gold reserves,1-Mar-24,,[188]
Zimbabwe,Africa,Southern Africa,159,1-Mar-24,8,No gold reserves,1-Mar-24,,[189]
Chad,Africa,Central Africa,143,1-Mar-24,4,No gold reserves,1-Mar-24,,[190]
Burundi,Africa,Central Africa,105,1-Mar-24,6,No gold reserves,1-Mar-24,,[191]
South Sudan,Africa,East Africa,80,2-Mar-24,7,No gold reserves,1-Mar-24,,[192]
Benin,Africa,West Africa,69,1-Mar-24,9,No gold reserves,1-Mar-24,,[193]
Montserrat,Americas,Caribbean,54,1-Mar-24,5,No gold reserves,1-Mar-24,,[194]
Equatorial Guinea,Africa,Central Africa,46,1-Mar-24,2,No gold reserves,1-Mar-24,,[195]
Burkina Faso,Africa,West Africa,42,1-Mar-24,3,No gold reserves,1-Mar-24,,[196]
Somalia,Africa,East Africa,37,1-Mar-24,5,No gold reserves,1-Mar-24,,[197]
Kiribati,Oceania,Micronesia,8,1-Mar-24,2,No gold reserves,1-Mar-24,,[198]
